name_x,instance,k,formulation_x,status_x,objVal_x,bestBound_x,gap_x,SEQ,n_x,name_y,formulation_y,status_y,objVal_y,bestBound_y,gap_y,SCF,n_y,name,formulation,status,objVal,bestBound,gap,MCF,n
g01:0.2:seq,g01,2,SEQ,OPTIMAL,46.0,46.0,0.0,0.037,1,g01:0.2:scf,SCF,OPTIMAL,46.0,46.0,0.0,0.037,1,g01:0.2:mcf,MCF,OPTIMAL,46.0,46.0,0.0,0.045,1
g01:0.5:seq,g01,5,SEQ,OPTIMAL,477.0,477.0,0.0,0.013,1,g01:0.5:scf,SCF,OPTIMAL,477.0,477.0,0.0,0.011,1,g01:0.5:mcf,MCF,OPTIMAL,477.0,477.0,0.0,0.032,1
g02:0.2:seq,g02,4,SEQ,OPTIMAL,373.0,373.0,0.0,0.082,5,g02:0.2:scf,SCF,OPTIMAL,373.0,373.0,0.0,0.018,1,g02:0.2:mcf,MCF,OPTIMAL,373.0,373.0,0.0,0.199,1
g02:0.5:seq,g02,10,SEQ,OPTIMAL,1390.0,1390.0,0.0,0.05,1,g02:0.5:scf,SCF,OPTIMAL,1390.0,1390.0,0.0,0.078,1,g02:0.5:mcf,MCF,OPTIMAL,1390.0,1390.0,0.0,0.088,1
g03:0.2:seq,g03,10,SEQ,OPTIMAL,725.0,725.0,0.0,0.162,1,g03:0.2:scf,SCF,OPTIMAL,725.0,725.0,0.0,0.107,1,g03:0.2:mcf,MCF,OPTIMAL,725.0,725.0,0.0,0.665,1
g03:0.5:seq,g03,25,SEQ,OPTIMAL,3074.0,3074.0,0.0,0.212,177,g03:0.5:scf,SCF,OPTIMAL,3074.0,3074.0,0.0,0.466,154,g03:0.5:mcf,MCF,OPTIMAL,3074.0,3074.0,0.0,0.761,1
g04:0.2:seq,g04,14,SEQ,OPTIMAL,909.0,909.0,0.0,0.508,6,g04:0.2:scf,SCF,OPTIMAL,909.0,909.0,0.0,1.643,1392,g04:0.2:mcf,MCF,OPTIMAL,909.0,909.0,0.0,2.000,1
g04:0.5:seq,g04,35,SEQ,OPTIMAL,3292.0,3292.0,0.0,0.517,1,g04:0.5:scf,SCF,OPTIMAL,3292.0,3292.0,0.0,2.122,808,g04:0.5:mcf,MCF,OPTIMAL,3292.0,3292.0,0.0,1.619,1
g05:0.2:seq,g05,20,SEQ,OPTIMAL,1235.0,1235.0,0.0,0.423,63,g05:0.2:scf,SCF,OPTIMAL,1235.0,1235.0,0.0,0.772,110,g05:0.2:mcf,MCF,OPTIMAL,1235.0,1235.0,0.0,3.538,1
g05:0.5:seq,g05,50,SEQ,OPTIMAL,4898.0,4898.0,0.0,1.111,912,g05:0.5:scf,SCF,OPTIMAL,4898.0,4898.0,0.0,1.637,441,g05:0.5:mcf,MCF,OPTIMAL,4898.0,4898.0,0.0,3.325,1
g06:0.2:seq,g06,40,SEQ,OPTIMAL,2068.0,2068.0,0.0,12.936,8034,g06:0.2:scf,SCF,OPTIMAL,2068.0,2068.0,0.0,19.527,3201,g06:0.2:mcf,MCF,OPTIMAL,2068.0,2068.0,0.0,63.565,7
g06:0.5:seq,g06,100,SEQ,OPTIMAL,6705.0,6705.0,0.0,11.022,5343,g06:0.5:scf,SCF,OPTIMAL,6705.0,6705.0,0.0,16.229,1700,g06:0.5:mcf,MCF,OPTIMAL,6705.0,6705.0,0.0,75.322,1
g07:0.2:seq,g07,60,SEQ,OPTIMAL,1334.999,1334.999,0.0,5.485,401,g07:0.2:scf,SCF,OPTIMAL,1335.0,1335.0,0.0,14.713,1683,g07:0.2:mcf,MCF,OPTIMAL,1335.0,1335.0,0.0,363.129,1
g07:0.5:seq,g07,150,SEQ,OPTIMAL,4534.0,4534.0,0.0,7.128,1293,g07:0.5:scf,SCF,OPTIMAL,4534.0,4534.0,0.0,25.48,908,g07:0.5:mcf,MCF,OPTIMAL,4534.0,4534.0,0.0,3051.548,1
g08:0.2:seq,g08,80,SEQ,OPTIMAL,1620.0,1620.0,0.0,5.247,973,g08:0.2:scf,SCF,OPTIMAL,1620.0,1620.0,0.0,31.898,1202,g08:0.2:mcf,MCF,MEM_LIMIT,inf,0.0,inf,458.448,1
g08:0.5:seq,g08,200,SEQ,OPTIMAL,5787.0,5787.0,0.0,20.713,8840,g08:0.5:scf,SCF,OPTIMAL,5787.0,5787.0,0.0,36.396,1238,g08:0.5:mcf,MCF,MEM_LIMIT,inf,0.0,inf,456.210,1
g09:0.2:seq,g09,200,SEQ,OPTIMAL,2289.0,2289.0,0.0,227.149,40659,g09:0.2:scf,SCF,OPTIMAL,2289.0,2289.0,0.0,553.678,2385,g09:0.2:mcf,MCF,MEM_LIMIT,inf,\text{-inf},inf,4.136,0
g09:0.5:seq,g09,500,SEQ,TIME_LIMIT,7595.0,7577.0,0.0024,3600.0,1425313,g09:0.5:scf,SCF,OPTIMAL,7595.0,7594.999,0.0,365.129,1721,g09:0.5:mcf,MCF,MEM_LIMIT,inf,\text{-inf},inf,4.150,0
g10:0.2:seq,g10,400,SEQ,OPTIMAL,4182.0,4182.0,0.0,584.035,69281,g10:0.2:scf,SCF,TIME_LIMIT,4182.0,4085.0,0.0232,3600.0,5540,g10:0.2:mcf,MCF,CRASH,\text{-},\text{-},\text{-},\text{-},\text{-}
g10:0.5:seq,g10,1000,SEQ,TIME_LIMIT,14991.0,14962.0,0.0019,3600.0,584946,g10:0.5:scf,SCF,OPTIMAL,14991.0,14990.0,0.0001,3195.374,38423,g10:0.5:mcf,MCF,CRASH,\text{-},\text{-},\text{-},\text{-},\text{-}
