name,instance,k,formulation,status,objVal,bestBound,gap,runtime,n
g01:0.2:cec,g01,2,CEC,OPTIMAL,46,46.0,0.0,0.037,1
g01:0.5:cec,g01,5,CEC,OPTIMAL,477,477.0,0.0,0.007,1
g02:0.2:cec,g02,4,CEC,OPTIMAL,373,373.0,0.0,0.020,1
g02:0.5:cec,g02,10,CEC,OPTIMAL,1390,1390.0,0.0,0.027,1
g03:0.2:cec,g03,10,CEC,OPTIMAL,725,725.0,0.0,0.007,1
g03:0.5:cec,g03,25,CEC,OPTIMAL,3074,3074.0,0.0,1.716,308
g04:0.2:cec,g04,14,CEC,OPTIMAL,909,909.0,0.0,0.215,1
g04:0.5:cec,g04,35,CEC,OPTIMAL,3292,3292.0,0.0,0.652,48
g05:0.2:cec,g05,20,CEC,OPTIMAL,1235,1235.0,0.0,0.319,1
g05:0.5:cec,g05,50,CEC,OPTIMAL,4898,4898.0,0.0,6.743,435
g06:0.2:cec,g06,40,CEC,OPTIMAL,2068,2068.0,0.0,121.919,2528
g06:0.5:cec,g06,100,CEC,OPTIMAL,6705,6705.0,0.0,126.507,1860
g07:0.2:cec,g07,60,CEC,OPTIMAL,1335,1335.0,0.0,22.642,13
g07:0.5:cec,g07,150,CEC,OPTIMAL,4534,4534.0,0.0,73.776,91
g08:0.2:cec,g08,80,CEC,OPTIMAL,1620,1620.0,0.0,164.889,123
g08:0.5:cec,g08,200,CEC,OPTIMAL,5787,5787.0,0.0,3595.638,3193
g09:0.2:cec,g09,200,CEC,TIME_LIMIT,2295,2274.0,0.0092,3600.000,232
g09:0.5:cec,g09,500,CEC,TIME_LIMIT,7601,7567.0,0.0045,3600.000,153

