name,instance,k,formulation,status,objVal,bestBound,gap,runtime,n,cuts
g01:0.2:cec,g01,2,CEC,OPTIMAL,46,46.0,0.0,0.037,1,0
g01:0.5:cec,g01,5,CEC,OPTIMAL,477,477.0,0.0,0.006,1,1
g02:0.2:cec,g02,4,CEC,OPTIMAL,373,373.0,0.0,0.010,1,1
g02:0.5:cec,g02,10,CEC,OPTIMAL,1390,1390.0,0.0,0.015,1,4
g03:0.2:cec,g03,10,CEC,OPTIMAL,725,725.0,0.0,0.007,1,1
g03:0.5:cec,g03,25,CEC,OPTIMAL,3074,3074.0,0.0,0.141,134,16
g04:0.2:cec,g04,14,CEC,OPTIMAL,909,909.0,0.0,0.071,1,1
g04:0.5:cec,g04,35,CEC,OPTIMAL,3292,3292.0,0.0,0.156,140,23
g05:0.2:cec,g05,20,CEC,OPTIMAL,1235,1235.0,0.0,0.060,1,2
g05:0.5:cec,g05,50,CEC,OPTIMAL,4898,4898.0,0.0,0.300,251,39
g06:0.2:cec,g06,40,CEC,OPTIMAL,2068,2068.0,0.0,2.588,1663,38
g06:0.5:cec,g06,100,CEC,OPTIMAL,6705,6705.0,0.0,1.849,1276,107
g07:0.2:cec,g07,60,CEC,OPTIMAL,1335,1335.0,0.0,1.086,61,9
g07:0.5:cec,g07,150,CEC,OPTIMAL,4534,4534.0,0.0,0.883,1,28
g08:0.2:cec,g08,80,CEC,OPTIMAL,1620,1620.0,0.0,1.188,57,7
g08:0.5:cec,g08,200,CEC,OPTIMAL,5787,5787.0,0.0,8.092,2522,231
g09:0.2:cec,g09,200,CEC,OPTIMAL,2289,2289.0,0.0,37.728,7557,160
g09:0.5:cec,g09,500,CEC,TIME_LIMIT,7595,7577.0,0.0024,3600.000,148124,10752
g10:0.2:cec,g10,400,CEC,OPTIMAL,4182,4182.0,0.0,65.791,8403,112
g10:0.5:cec,g10,1000,CEC,TIME_LIMIT,14991,14963.0,0.0019,3600.000,111476,8037
