name,instance,k,formulation,status,objVal,bestBound,gap,runtime,n
g01:0.2:mcf,g01,2,MCF,OPTIMAL,46.0,46.0,0.0,0.045,1
g01:0.5:mcf,g01,5,MCF,OPTIMAL,477.0,477.0,0.0,0.032,1
g02:0.2:mcf,g02,4,MCF,OPTIMAL,373.0,373.0,0.0,0.199,1
g02:0.5:mcf,g02,10,MCF,OPTIMAL,1390.0,1390.0,0.0,0.088,1
g03:0.2:mcf,g03,10,MCF,OPTIMAL,725.0,725.0,0.0,0.665,1
g03:0.5:mcf,g03,25,MCF,OPTIMAL,3074.0,3074.0,0.0,0.761,1
g04:0.2:mcf,g04,14,MCF,OPTIMAL,909.0,909.0,0.0,2.000,1
g04:0.5:mcf,g04,35,MCF,OPTIMAL,3292.0,3292.0,0.0,1.619,1
g05:0.2:mcf,g05,20,MCF,OPTIMAL,1235.0,1235.0,0.0,3.538,1
g05:0.5:mcf,g05,50,MCF,OPTIMAL,4898.0,4898.0,0.0,3.325,1
g06:0.2:mcf,g06,40,MCF,OPTIMAL,2068.0,2068.0,0.0,63.565,7
g06:0.5:mcf,g06,100,MCF,OPTIMAL,6705.0,6705.0,0.0,75.322,1
g07:0.2:mcf,g07,60,MCF,OPTIMAL,1335.0,1335.0,0.0,363.129,1
g07:0.5:mcf,g07,150,MCF,OPTIMAL,4534.0,4534.0,0.0,3051.548,1
g08:0.2:mcf,g08,80,MCF,MEM_LIMIT,inf,0.0,inf,458.448,1
g08:0.5:mcf,g08,200,MCF,MEM_LIMIT,inf,0.0,inf,456.210,1
g09:0.2:mcf,g09,200,MCF,MEM_LIMIT,inf,\text{-inf},inf,4.136,0
g09:0.5:mcf,g09,500,MCF,MEM_LIMIT,inf,\text{-inf},inf,4.150,0
g10:0.2:mcf,g10,400,MCF,CRASH,\text{-},\text{-},\text{-},\text{-},\text{-}
g10:0.5:mcf,g10,1000,MCF,CRASH,\text{-},\text{-},\text{-},\text{-},\text{-}
