name,instance,k,formulation,status,objVal,bestBound,gap,runtime,n
g01:0.2:scf,g01,2,SCF,OPTIMAL,46.0,46.0,0.0,0.037,1
g01:0.5:scf,g01,5,SCF,OPTIMAL,477.0,477.0,0.0,0.011,1
g02:0.2:scf,g02,4,SCF,OPTIMAL,373.0,373.0,0.0,0.018,1
g02:0.5:scf,g02,10,SCF,OPTIMAL,1390.0,1390.0,0.0,0.078,1
g03:0.2:scf,g03,10,SCF,OPTIMAL,725.0,725.0,0.0,0.107,1
g03:0.5:scf,g03,25,SCF,OPTIMAL,3074.0,3074.0,0.0,0.466,154
g04:0.2:scf,g04,14,SCF,OPTIMAL,909.0,909.0,0.0,1.643,1392
g04:0.5:scf,g04,35,SCF,OPTIMAL,3292.0,3292.0,0.0,2.122,808
g05:0.2:scf,g05,20,SCF,OPTIMAL,1235.0,1235.0,0.0,0.772,110
g05:0.5:scf,g05,50,SCF,OPTIMAL,4898.0,4898.0,0.0,1.637,441
g06:0.2:scf,g06,40,SCF,OPTIMAL,2068.0,2068.0,0.0,19.527,3201
g06:0.5:scf,g06,100,SCF,OPTIMAL,6705.0,6705.0,0.0,16.229,1700
g07:0.2:scf,g07,60,SCF,OPTIMAL,1335.0,1335.0,0.0,14.713,1683
g07:0.5:scf,g07,150,SCF,OPTIMAL,4534.0,4534.0,0.0,25.480,908
g08:0.2:scf,g08,80,SCF,OPTIMAL,1620.0,1620.0,0.0,31.898,1202
g08:0.5:scf,g08,200,SCF,OPTIMAL,5787.0,5787.0,0.0,36.396,1238
g09:0.2:scf,g09,200,SCF,OPTIMAL,2289.0,2289.0,0.0,553.678,2385
g09:0.5:scf,g09,500,SCF,OPTIMAL,7595.0,7594.999,0.0,365.129,1721
g10:0.2:scf,g10,400,SCF,TIME_LIMIT,4182.0,4085.0,0.0232,3600.000,5540
g10:0.5:scf,g10,1000,SCF,OPTIMAL,14991.0,14990.0,0.0001,3195.374,38423
