name,instance,k,formulation,status,objVal,bestBound,gap,runtime,n
g01:0.2:seq,g01,2,SEQ,OPTIMAL,46.0,46.0,0.0,0.037,1
g01:0.5:seq,g01,5,SEQ,OPTIMAL,477.0,477.0,0.0,0.013,1
g02:0.2:seq,g02,4,SEQ,OPTIMAL,373.0,373.0,0.0,0.082,5
g02:0.5:seq,g02,10,SEQ,OPTIMAL,1390.0,1390.0,0.0,0.050,1
g03:0.2:seq,g03,10,SEQ,OPTIMAL,725.0,725.0,0.0,0.162,1
g03:0.5:seq,g03,25,SEQ,OPTIMAL,3074.0,3074.0,0.0,0.212,177
g04:0.2:seq,g04,14,SEQ,OPTIMAL,909.0,909.0,0.0,0.508,6
g04:0.5:seq,g04,35,SEQ,OPTIMAL,3292.0,3292.0,0.0,0.517,1
g05:0.2:seq,g05,20,SEQ,OPTIMAL,1235.0,1235.0,0.0,0.423,63
g05:0.5:seq,g05,50,SEQ,OPTIMAL,4898.0,4898.0,0.0,1.111,912
g06:0.2:seq,g06,40,SEQ,OPTIMAL,2068.0,2068.0,0.0,12.936,8034
g06:0.5:seq,g06,100,SEQ,OPTIMAL,6705.0,6705.0,0.0,11.022,5343
g07:0.2:seq,g07,60,SEQ,OPTIMAL,1334.999,1334.999,0.0,5.485,401
g07:0.5:seq,g07,150,SEQ,OPTIMAL,4534.0,4534.0,0.0,7.128,1293
g08:0.2:seq,g08,80,SEQ,OPTIMAL,1620.0,1620.0,0.0,5.247,973
g08:0.5:seq,g08,200,SEQ,OPTIMAL,5787.0,5787.0,0.0,20.713,8840
g09:0.2:seq,g09,200,SEQ,OPTIMAL,2289.0,2289.0,0.0,227.149,40659
g09:0.5:seq,g09,500,SEQ,TIME_LIMIT,7595.0,7577.0,0.0024,3600.000,1425313
g10:0.2:seq,g10,400,SEQ,OPTIMAL,4182.0,4182.0,0.0,584.035,69281
g10:0.5:seq,g10,1000,SEQ,TIME_LIMIT,14991.0,14962.0,0.0019,3600.000,584946
